gen_data,true_data
คลินิกกรุงเทพระยองาขาบ่อวิน,คลินิกกรุงเทพระยองสาขาบ่อวิน
คลินิกกรุงเทระยองสาขาบ้านฉาง,คลินิกกรุงเทพระยองสาขาบ้านฉาง
คลินิกกรุงเทระยองสาขาปลวกแดง,คลินิกกรุงเทพระยองสาขาปลวกแดง
คินิกไทยอินเตอร์การแพทย์(เกาะพงัน),คลินิกไทยอินเตอร์การแพทย์(เกาะพงัน)
คลินิกพญไทเวชกรรมบ่อวิน,คลินิกพญาไทเวชกรรมบ่อวิน
คลินกรวมแพทย์นิคม,คลินิกรวมแพทย์นิคม
คลินิกรักสุขภาจ.ระยอง,คลินิกรักสุขภาพจ.ระยอง
คลินกโรงพยาบาลกรุงเทพพัทยาสาขาบุญสัมพันธ์,คลินิกโรงพยาบาลกรุงเทพพัทยาสาขาบุญสัมพันธ์
คลินิกโรงพยาบาลกรุงเทพสุย,คลินิกโรงพยาบาลกรุงเทพสมุย
คลินิกเวชกรรมกรุงเทพมวกเห็ก,คลินิกเวชกรรมกรุงเทพมวกเหล็ก
คลินิกเวชกรรมกลวยน้าไทสาขาชุมชน70ไร่,คลินิกเวชกรรมกล้วยน้าไทสาขาชุมชน70ไร่
คลินิเวชกรรมกลว้ยน้าไทสาขาสุขุมวิท93,คลินิกเวชกรรมกล้วยน้าไทสาขาสุขุมวิท93
คลินิกเวชกรรมกลว้ยน้าไทสาขาสุภาพงษ์,คลินิกเวชกรรมกล้วยน้าไทสาขาสุภาพงษ์3
คลินิกเวชกรมจุฬารัตน์12(เกตเวย์),คลินิกเวชกรรมจุฬารัตน์12(เกตเวย์)
คลินิกเวกรรมจุฬารัตน์2,คลินิกเวชกรรมจุฬารัตน์2
คลินิกเวชกรมจุฬารัตน์4,คลินิกเวชกรรมจุฬารัตน์4
คลนิกเวชกรรมจุฬารัตน์7,คลินิกเวชกรรมจุฬารัตน์7
คลินกเวชกรรมจุฬารัตน์8,คลินิกเวชกรรมจุฬารัตน์8
คลินกเวชกรรมจุฬารัตน์อาคเนย์,คลินิกเวชกรรมจุฬารัตน์อาคเนย์
คลินิกเวชกรมเฟิร์สเวสเทอร์น,คลินิกเวชกรรมเฟิร์สเวสเทอร์น
คลินิกเวชกรรมเมโยสาขาซันทาวเวร์สบี,คลินิกเวชกรรมเมโยสาขาซันทาวเวอร์สบี
คลินิกเวชกรรมมโยสาขารสาทาวเวอร์อาคาร2,คลินิกเวชกรรมเมโยสาขารสาทาวเวอร์อาคาร2
คลินิเวชกรรมสมิติเวชบ้านบึง,คลินิกเวชกรรมสมิติเวชบ้านบึง
คลินิกเวชกรรมสมิติเวแหลมฉบัง,คลินิกเวชกรรมสมิติเวชแหลมฉบัง
คลินิศรีบุรินทร์สาขาเกษมราษฎร์แม่สาย,คลินิกศรีบุรินทร์สาขาเกษมราษฎร์แม่สาย
คลินิกอินเตอร์เนช่นแนลเกาะชา้ง,คลินิกอินเตอร์เนชั่นแนลเกาะชา้ง
คลินิคเกษมราษฎร์ศรีบุรินทร์สขาอาเภอเชียงแสน,คลินิคเกษมราษฎร์ศรีบุรินทร์สาขาอาเภอเชียงแสน
คลินิค้านรักฟัน,คลินิคบ้านรักฟัน
เซ็นทรัลเมดิคลินิกเวชกรรมสาขาเกษตร,เซ็นทรัลเมดิกคลินิกเวชกรรมสาขาเกษตร
เซ็นทรัลเมดิกคลินิกเวชกรรมสาขาเซนตหลุยส์,เซ็นทรัลเมดิกคลินิกเวชกรรมสาขาเซนต์หลุยส์
เซ็นทรัลเมดิคลินิกเวชกรรมสาขาดินแดง,เซ็นทรัลเมดิกคลินิกเวชกรรมสาขาดินแดง
เซ็นทรัลเมดิกคลินิกเวชกรรมสาขาากเกร็ด,เซ็นทรัลเมดิกคลินิกเวชกรรมสาขาปากเกร็ด
เซ็นทรัลเมดิกคลนิกเวชกรรมสาขาพระโขนง,เซ็นทรัลเมดิกคลินิกเวชกรรมสาขาพระโขนง
เเลแคร์คลินิกเจริญกรุง,เทเลแคร์คลินิกเจริญกรุง
เทเลแคร์คลินิกสหคลินิกสาาวัชรพล,เทเลแคร์คลินิกสหคลินิกสาขาวัชรพล
ธรรมุนทรคลินิกเวชกรรม,ธรรมสุนทรคลินิกเวชกรรม
ธรมสุนทรคลินิกเวชกรรมสาขาคลองสาน,ธรรมสุนทรคลินิกเวชกรรมสาขาคลองสาน
บางพระเมดิคลเซนเตอร์,บางพระเมดิคอลเซนเตอร์
้าน,บ้าน
เปาโลเมโมเรียลรังสิตคลินิกเวชกรร,เปาโลเมโมเรียลรังสิตคลินิกเวชกรรม
ฟรีโซนคลินิกเวชกรม,ฟรีโซนคลินิกเวชกรรม
โรงยาบาล50 พรรษา มหาวชิราลงกรณ์,โรงพยาบาล50 พรรษา มหาวชิราลงกรณ์
โรงพยาบากงไกรลาศ,โรงพยาบาลกงไกรลาศ
โรงพยาบลกงหรา,โรงพยาบาลกงหรา
โรงพยาาลกรงปินัง,โรงพยาบาลกรงปินัง
โรงพยาบาลกระทุ่มบน,โรงพยาบาลกระทุ่มแบน
โรงพยาบาลกระี่,โรงพยาบาลกระบี่
โรงพยาบาลกะบี่,โรงพยาบาลกระบี่
โรงพยาบาลกระบี่นครินร์อินเตอร์เนชั่นแนล,โรงพยาบาลกระบี่นครินทร์อินเตอร์เนชั่นแนล
โรงพยบาลกระบุรี,โรงพยาบาลกระบุรี
โรงพาบาลกระสัง,โรงพยาบาลกระสัง
โรงพยาบาลกระแสสินุ์,โรงพยาบาลกระแสสินธุ์
โรงพยาบาลกรุเทพ,โรงพยาบาลกรุงเทพ
โรงพยาบาลกรุงทพขอนแก่น,โรงพยาบาลกรุงเทพขอนแก่น
โรงพยาาลกรุงเทพคริสเตียน,โรงพยาบาลกรุงเทพคริสเตียน
โรงพยาบาลกรุเทพจุรีเวช,โรงพยาบาลกรุงเทพจุรีเวช
โรงพยาบาลกรุเทพไชน่าทาวน์,โรงพยาบาลกรุงเทพไชน่าทาวน์
โรงพยาบาลกรุงทพตราด,โรงพยาบาลกรุงเทพตราด
โรงพยาบาลกรุงเพปากช่อง,โรงพยาบาลกรุงเทพปากช่อง
โรงพยาาลกรุงเทพพระประแดง,โรงพยาบาลกรุงเทพพระประแดง
โรงพยาบาลกรุงเทพพิษณโลก,โรงพยาบาลกรุงเทพพิษณุโลก
โงพยาบาลกรุงเทพภูเก็ต,โรงพยาบาลกรุงเทพภูเก็ต
โรงพยาบาลกรุเทพระยอง,โรงพยาบาลกรุงเทพระยอง
โรงพยาบาลรุงเทพราชสีมา,โรงพยาบาลกรุงเทพราชสีมา
โรพยาบาลกรุงเทพสมุย,โรงพยาบาลกรุงเทพสมุย
โรงพยาบาลกรุงเทพหวหิน,โรงพยาบาลกรุงเทพหัวหิน
โรงพยาบาลกรุงเพอุดร,โรงพยาบาลกรุงเทพอุดร
โรงพยาบาลกรุไทย,โรงพยาบาลกรุงไทย
โรงพยาบาลกว้ยน้าไท1,โรงพยาบาลกล้วยน้าไท1
โรงพยาบาลกลว้ยน้ไท2,โรงพยาบาลกล้วยน้าไท2
โรงพยาบาลกะปงชัยพฒน์,โรงพยาบาลกะปงชัยพัฒน์
โรงพยาบาลกะเปร์,โรงพยาบาลกะเปอร์
รงพยาบาลกะพ้อ,โรงพยาบาลกะพ้อ
โรงพาบาลกันตัง,โรงพยาบาลกันตัง
โรงพยาบาลันทรลักษ์,โรงพยาบาลกันทรลักษ์
โรงพยาบาลกันทวิชัย,โรงพยาบาลกันทรวิชัย
โรงพยาบาลกันทรารม์,โรงพยาบาลกันทรารมย์
โรงพยาบาลกาญจบุรีเมโมเรียล,โรงพยาบาลกาญจนบุรีเมโมเรียล
โรงยาบาลกาบเชิง,โรงพยาบาลกาบเชิง
โรงพยาบาลกบัง,โรงพยาบาลกาบัง
โรงยาบาลการุญเวชปทุมธานี(เปลี่ยนชื่อจากนวนคร),โรงพยาบาลการุญเวชปทุมธานี(เปลี่ยนชื่อจากนวนคร)
โรงพยาบาลกาุญเวชสุขาภิบาล3,โรงพยาบาลการุญเวชสุขาภิบาล3
โรงพยบาลการุญเวชอยุธยา(เปลี่ยนชื่อจากนวนครอยุธยา),โรงพยาบาลการุญเวชอยุธยา(เปลี่ยนชื่อจากนวนครอยุธยา)
โรงพาบาลกาฬสินธุ์,โรงพยาบาลกาฬสินธุ์
โรงพยาบากำแพงเพชร,โรงพยาบาลกำแพงเพชร
โรงพยาบลกำแพงแสน,โรงพยาบาลกำแพงแสน
โรงพยาบาลกุด้าวปุ้น,โรงพยาบาลกุดข้าวปุ้น
โรงพยาบาลกุดจั,โรงพยาบาลกุดจับ
โรงพยาบาลกุรัง,โรงพยาบาลกุดรัง
โงพยาบาลกุมภวาปี,โรงพยาบาลกุมภวาปี
โรงพยบาลกุยบุรี,โรงพยาบาลกุยบุรี
โรงยาบาลกุสุมาลย์,โรงพยาบาลกุสุมาลย์
โงพยาบาลกู่แก้ว,โรงพยาบาลกู่แก้ว
โรงพยบาลเกษตรวิสัย,โรงพยาบาลเกษตรวิสัย
โรงพยาบาลเกษตรสมบูณ์,โรงพยาบาลเกษตรสมบูรณ์
โรงพยาบาลเกษมราษฎร์บงแค,โรงพยาบาลเกษมราษฎร์บางแค
โรงพยาบาลกษมราษฎร์ประชาชื่น,โรงพยาบาลเกษมราษฎร์ประชาชื่น
โรงพยาบาลเกษมราษฎร์รัตนาธเบศร์,โรงพยาบาลเกษมราษฎร์รัตนาธิเบศร์
โรงพยาบาลเกษมราษฎร์ศรีบุริทร์,โรงพยาบาลเกษมราษฎร์ศรีบุรินทร์
